;;Percent of;;
;Number;Population;;
State;2007;2006;2007;
  United States ;64 494;23,8;21,5;
Alabama ;120;3,1;2,6;
Alaska ;0;0;0;
Arizona ;1 522;34,2;24,7;
Arkansas ;85;3,5;3,0;
California ;15 992;49,2;43,9;
Colorado ;1 004;25,9;21,1;
Connecticut ;1 053;31,3;30,1;
Delaware ;153;15,5;18,0;
District of Columbia ;332;55,4;57,0;
Florida ;3 584;24,5;19,8;
Georgia ;2 157;15,4;23,0;
Hawaii ;601;46,8;46,7;
Idaho ;64;2,9;4,4;
Illinois ;1 626;15,2;12,7;
Indiana ;1 441;25,7;22,8;
Iowa ;238;11,5;8,0;
Kansas ;362;14,8;13,1;
Kentucky ;271;6,2;6,4;
Louisiana ;282;9,5;6,6;
Maine ;366;36,6;27,7;
Maryland ;1 428;29,1;25,4;
Massachusetts ;2 265;44,2;35,2;
Michigan ;2 796;26,6;27,7;
Minnesota ;704;23,4;13,6;
Mississippi ;3;0,8;0,1;
Missouri ;1 050;18,6;18,0;
Montana ;48;7,3;5,1;
Nebraska ;97;7,9;5,5;
Nevada ;541;24,7;21,7;
New Hampshire ;216;21,5;16,4;
New Jersey ;1 884;24,4;21,6;
New Mexico ;374;23,7;19,1;
New York ;5 784;27,5;30,0;
North Carolina ;423;9,8;4,8;
North Dakota ;1;0,4;0,2;
Ohio ;2 080;23,2;18,1;
Oklahoma ;227;7,0;6,3;
Oregon ;875;24,8;23,6;
Pennsylvania ;3 214;26,9;25,8;
Rhode Island ;220;25,0;20,6;
South Carolina ;295;7,4;6,8;
South Dakota ;66;7,5;8,4;
Tennessee ;1 510;25,8;25,0;
Texas ;2 364;12,1;10,1;
Utah ;719;26,1;28,2;
Vermont ;95;24,5;15,3;
Virginia ;1 341;19,5;17,5;
Washington ;1 186;18,3;18,5;
West Virginia ;197;8,9;10,8;
Wisconsin ;1 224;26,3;22,0;
Wyoming ;13;2,0;2,6;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
