;;Number (1,000);;;;;;   Percent;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Covered by private or government;;;;;;;;;;;;;;;;;;;;;;;
;;;health insurance;;;;;Covered by private or;;;;;;;;;;;;;;;;;;
;;;;;;;Not;government health ;;;Not;;;;;;;;;;;;;;;
Characteristic;;;      Private ;; Government;;covered by ;insurance;;;covered;;;;;;;;;;;;;;;
;;;;;;;by;;;;by;;;;;;;;;;;;;;;
;   Total;;;Group;;;health;;;;health;;;;;;;;;;;;;;;
;  persons;Total \1;Total;health \2;Medicare;Medicaid ;insurance;Total \1;Private;Medicaid;insurance;;;;;;;;;;;;;;;
2006 \3;296 824;249 829;201 690;177 152;40 343;38 281;46 995;84,2;67,9;12,9;15,8;;;;;;;;;;;;;;;
2007;299 106;253 449;201 991;177 446;41 375;39 554;45 657;84,7;67,5;13,2;15,3;;;;;;;;;;;;;;;
Age:;;;;;;;;;;;;;;;;;;;;;;;;;;
  Under 18 years;74 403;66 254;47 750;44 252;518;20 899;8 149;89,0;64,2;28,1;11,0;;;;;;;;;;;;;;;
    Under 6 years ;24 944;22 326;14 793;13 971;235;8 364;2 618;89,5;59,3;33,5;10,5;;;;;;;;;;;;;;;
    6 to 11 years ;23 820;21 355;15 567;14 621;138;6 604;2 465;89,7;65,4;27,7;10,3;;;;;;;;;;;;;;;
    12 to 17 years ;25 639;22 573;17 391;15 661;145;5 932;3 066;88,0;67,8;23,1;12,0;;;;;;;;;;;;;;;
  18 to 24 years ;28 398;20 407;17 074;13 747;180;3 563;7 991;71,9;60,1;12,5;28,1;;;;;;;;;;;;;;;
  25 to 34 years ;40 146;29 817;26 430;24 505;501;3 237;10 329;74,3;65,8;8,1;25,7;;;;;;;;;;;;;;;
  35 to 44 years ;42 132;34 415;31 067;29 009;924;3 027;7 717;81,7;73,7;7,2;18,3;;;;;;;;;;;;;;;
  45 to 54 years ;43 935;37 161;33 350;30 805;1 795;3 103;6 774;84,6;75,9;7,1;15,4;;;;;;;;;;;;;;;
  55 to 64 years ;33 302;29 291;25 114;22 569;3 179;2 462;4 011;88,0;75,4;7,4;12,0;;;;;;;;;;;;;;;
  65 years and over ;36 790;36 103;21 206;12 558;34 278;3 263;686;98,1;57,6;8,9;1,9;;;;;;;;;;;;;;;
Sex: Male ;146 855;122 309;99 180;88 077;17 943;17 976;24 546;83,3;67,5;12,2;16,7;;;;;;;;;;;;;;;
  Female ;152 250;131 140;102 811;89 369;23 431;21 578;21 111;86,1;67,5;14,2;13,9;;;;;;;;;;;;;;;
Race:;;;;;;;;;;;;;;;;;;;;;;;;;;
Race: White alone \4;239 399;205 099;167 905;146 398;35 117;27 172;34 300;85,7;70,1;11,4;14,3;;;;;;;;;;;;;;;
    Black alone \4;37 775;30 403;20 169;18 525;4 303;8 986;7 372;80,5;53,4;23,8;19,5;;;;;;;;;;;;;;;
    Asian alone \4;13 268;11 034;9 067;8 107;1 195;1 528;2 234;83,2;68,3;11,5;16,8;;;;;;;;;;;;;;;
Hispanic origin \5;46 026;31 256;20 194;18 551;2 887;10 348;14 770;67,9;43,9;22,5;32,1;;;;;;;;;;;;;;;
Household income:;;;;;;;;;;;;;;;;;;;;;;;;;;
  Less than $25,000;55 267;41 728;16 650;10 325;15 822;18 976;13 539;75,5;30,1;34,3;24,5;;;;;;;;;;;;;;;
  $25,000-$49,999;68 915;54 400;39 742;33 099;12 567;11 436;14 515;78,9;57,7;16,6;21,1;;;;;;;;;;;;;;;
  $50,000-$74,999;58 355;49 867;43 967;39 782;5 779;4 730;8 488;85,5;75,3;8,1;14,5;;;;;;;;;;;;;;;
  $75,000 or more;116 568;107 453;101 633;94 240;7 207;4 412;9 115;92,2;87,2;3,8;7,8;;;;;;;;;;;;;;;
Persons below poverty;37 276;25 741;7 893;5 076;5 106;16 247;11 535;69,1;21,2;43,6;30,9;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
