;;   Total persons ;;Children;
;Total;   not covered;; not covered;
State;Persons;;;;
;covered;Number;Percent;Number;Percent
;-1 000;(1,000);of total;(1,000);of total
United States \1;253 449;45 657;15,3;8 149;11,0
Alabama;4 021;549;12,0;82;7,3
Alaska;552;123;18,2;21;11,4
Arizona;5 204;1 164;18,3;234;13,8
Arkansas;2 354;451;16,1;44;6,2
California;29 682;6 613;18,2;1 013;10,7
Colorado;4 077;801;16,4;157;13,0
Connecticut;3 150;326;9,4;43;5,2
Delaware;766;96;11,2;16;7,5
District of Columbia;526;55;9,5;7;6,2
Florida;14 426;3 648;20,2;785;19,2
Georgia;7 831;1 662;17,5;289;11,5
Hawaii ;1 172;96;7,5;14;4,8
Idaho;1 292;209;13,9;46;11,0
Illinois;10 988;1 700;13,4;210;6,6
Indiana;5 546;717;11,4;83;5,2
Iowa;2 695;275;9,3;34;4,8
Kansas;2 376;345;12,7;54;7,7
Kentucky;3 637;570;13,6;82;8,0
Louisiana;3 421;776;18,5;137;12,5
Maine;1 197;115;8,8;14;5,1
Maryland;4 804;762;13,7;146;10,5
Massachusetts;6 000;340;5,4;43;3,0
Michigan;8 776;1 151;11,6;149;6,2
Minnesota;4 758;433;8,3;80;6,4
Mississippi;2 358;545;18,8;94;12,1
Missouri;5 062;729;12,6;150;10,4
Montana;793;146;15,6;28;12,6
Nebraska;1 522;232;13,2;45;10,0
Nevada;2 126;441;17,2;94;14,3
New Hampshire;1 177;137;10,5;19;6,5
New Jersey;7 208;1 348;15,8;270;12,9
New Mexico;1 509;437;22,5;77;15,5
New York;16 543;2 519;13,2;395;8,9
North Carolina;7 673;1 510;16,4;272;12,1
North Dakota;553;61;10,0;11;7,9
Ohio;9 979;1 322;11,7;239;8,6
Oklahoma;2 920;631;17,8;116;12,6
Oregon;3 130;632;16,8;92;10,6
Pennsylvania;11 138;1 176;9,5;207;7,4
Rhode Island;931;113;10,8;21;8,8
South Carolina;3 664;721;16,4;152;14,2
South Dakota;708;80;10,1;16;8,0
Tennessee;5 268;883;14,4;135;9,1
Texas;17 742;5 962;25,2;1 435;21,4
Utah;2 317;340;12,8;87;10,4
Vermont;545;69;11,2;12;9,4
Virginia;6 548;1 135;14,8;187;10,2
Washington;5 773;737;11,3;106;6,8
West Virginia;1 541;254;14,1;18;4,6
Wisconsin;5 023;451;8,2;77;5,8
Wyoming;447;70;13,6;12;9,6
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
