;Percent of workers;;;;Single coverage;;Family coverage ;;
; participating;;;; medical plans;;medical plans;;
Characteristics;;;;;;;;;
;;;;Outpatient;Employee;Average;Employee;Average;
;;;;prescrip-;contri-;monthly;contri-;monthly;
;;;;tion;butions;contri-;butions;contri-;
;Medical;Dental;Vision;drug;required;bution \1;required;bution \1;
;care;care;care;coverage;(percent);(dollars);(percent);(dollars);
    All employees, Total;53;37;22;51;77;87,69;87;330,99;
Worker characteristics:;;;;;;;;;
Management, professional, and ;;;;;;;;;
 related;68;51;30;65;79;85,76;90;330,88;
  Management, business, and ;;;;;;;;;
   financial;77;57;31;74;80;82,79;91;316,15;
  Professional and related;64;48;30;61;78;87,54;90;339,50;
Service;29;20;14;28;82;96,00;91;350,84;
Sales and office;51;35;19;49;80;89,62;91;352,05;
  Sales and related;42;28;16;40;82;94,37;91;347,95;
  Office and administrative support;57;40;21;55;79;87,13;91;354,13;
Natural resources, construction, and ;;;;;;;;;
 maintenance;62;37;26;59;63;91,34;75;329,44;
Production, transportation, and ;;;;;;;;;
 material moving;61;40;24;58;74;80,93;83;288,01;
  Production;67;45;26;64;75;81,03;83;278,45;
  Transportation, and material ;;;;;;;;;
   moving;55;34;21;52;73;80,80;83;300,50;
  Full time \2;65;45;27;62;77;86,74;87;328,83;
  Part time \2;14;11;7;14;78;101,39;88;363,44;
  Union  \3;79;62;47;76;49;67,89;57;227,74;
  Nonunion;50;34;19;48;82;89,88;93;342,18;
Average hourly wage \4;;;;;;;;;
Less than $7.85;13;NA;NA;12;89;90,30;94;341,07;
$7.85 to under $10.13;28;17;10;26;83;97,35;92;355,70;
$10.13 to under$15.00;55;36;20;52;81;89,06;92;342,56;
$15.00 to under $23.25;67;44;25;64;74;85,68;87;327,74;
$23.25 to under $34.79;72;54;35;69;70;86,08;80;319,12;
$34.79 or greater;75;60;35;73;78;84,22;87;313,18;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
