;;;;;;;;;;;;;
Sales;;;;;;;;;;;;;
outlet;Unit;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;;
  Number of prescriptions;Millions;2 125;2 865;3 009;3 139;3 215;3 274;3 279;3 420;3 515;3 536;;
Traditional chain;Millions;908;1 335;1 408;1 463;1 483;1 500;1 518;1 605;1 660;1 684;;
Independent;Millions;672;698;710;719;736;738;714;732;745;732;;
Mass merchant;Millions;238;293;311;339;345;353;359;375;390;400;;
Supermarkets;Millions;221;394;418;444;462;470;465;476;478;481;;
Mail order;Millions;86;146;161;174;189;214;223;232;242;238;;
  Percent distribution of;;;;;;;;;;;;;
    brand/generic mix:;;;;;;;;;;;;;
Brand drugs;Percent;59,8;57,6;59,0;57,9;55,0;54,1;50,6;45,2;40,8;35,5;;
Generic drugs;Percent;40,2;42,4;41,0;42,1;45,0;45,9;49,4;54,8;59,2;64,5;;
  Retail Sales;Billions of dollars;72,2;145,6;161,3;182,7;204,2;216,7;226,1;243,2;249,2;253,6;;
Traditional chain;Billions of dollars;27,8;59,1;65,3;75,7;86,6;86,7;90,7;96,0;101,2;104,1;;
Independent;Billions of dollars;22,0;33,4;36,2;38,0;41,2;44,2;45,4;46,7;44,6;43,8;;
Mass merchant;Billions of dollars;7,7;13,5;15,2;15,6;16,1;16,8;17,5;21,6;23,6;24,8;;
Supermarkets;Billions of dollars;7,4;17,4;19,8;23,1;25,2;26,4;26,9;28,1;27,3;25,8;;
Mail order;Billions of dollars;7,4;22,1;24,8;30,2;35,0;42,7;45,5;50,9;52,5;55,1;;
       Average prices: \1;;;;;;;;;;;;;
   All prescriptions;Dollars;30,01;45,79;50,06;55,37;59,52;62,64;63,87;65,82;68,77;71,7;;
Brand drugs;Dollars;40,22;65,29;69,75;77,49;85,57;91,80;97,65;107,48;109,62;121,2;;
Generic drugs;Dollars;14,84;19,33;21,72;24,89;27,69;28,23;29,21;29,76;32,60;35,2;;
Average prescription cost \1;;(NA);(NA);(NA);(NA);(NA);(NA);(NA);66,97;69,91;(NA);;
Manufacturer receives;Dollars;(NA);(NA);(NA);(NA);(NA);(NA);(NA);51,97;54,30;(NA);;
Wholesaler receives;Dollars;(NA);(NA);(NA);(NA);(NA);(NA);(NA);2,07;2,44;(NA);;
Retailer receives;Dollars;(NA);(NA);(NA);(NA);(NA);(NA);(NA);12,93;13,17;(NA);;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
