Kind of business;2002 NAICS Code;Total, all firms \1;;;;Taxable employer firms;;;
;;;;;;;;;
;;2000;2005;2006;2007;2000;2005;2006;2007
;;;;;;;;;
      Health care and social assistance ;62;1 033 029;1 478 399;1 558 756;1 664 547;500 932;730 440;776 259;835 940
Ambulatory health care services \2;621;419 402;610 806;647 920;692 854;376 095;549 489;583 721;624 879
  Offices of physicians;6211;213 806;310 780;327 588;346 043;213 806;310 780;327 588;346 043
  Offices of dentists;6212;60 931;83 636;87 930;93 645;60 931;83 636;87 930;93 645
  Offices of other health practitioners ;6213;32 037;45 095;46 971;50 380;32 037;45 095;46 971;50 380
    Offices of chiropractors;62131;7 570;9 876;10 232;10 833;7 570;9 876;10 232;10 833
    Offices of optometrists;62132;7 639;9 793;10 214;11 037;7 639;9 793;10 214;11 037
    Offices of mental health practitioners;62133;3 516;4 066;4 291;4 567;3 516;4 066;4 291;4 567
    Offices of PT/OT/speech therapy & audiology \3;62134;8 486;14 195;14 817;16 052;8 486;14 195;14 817;16 052
  Outpatient care centers;6214;(S);69 464;75 936;82 133;(S);31 487;36 414;40 677
  Medical & diagnostic laboratories;6215;23 450;34 690;37 224;38 558;23 450;34 690;37 224;38 558
  Home health care services;6216;26 841;43 969;46 816;53 664;16 879;29 736;31 873;37 714
  Other ambulatory health care services;6219;15 565;23 172;25 455;28 431;9 421;14 065;15 721;17 862
Hospitals \2;622;423 889;611 522;644 904;687 135;42 908;71 315;76 864;83 644
  General medical & surgical hospitals;6221;397 526;573 007;603 800;642 670;36 926;58 568;62 967;68 110
  Psychiatric & substance abuse hospitals;6222;13 422;13 914;14 848;16 041;2 189;2 317;2 646;3 215
  Other specialty hospitals;6223;12 941;24 601;26 256;28 424;3 793;10 430;11 251;12 319
Nursing and residential care facilities \2;623;112 706;145 578;149 785;160 037;66 245;85 294;88 428;95 295
  Nursing care facilities;6231;67 238;83 515;85 270;90 677;49 816;61 240;63 057;67 881
  Residential mental retardation/health facilities ;6232;16 718;22 932;23 928;25 543;4 726;6 693;7 109;7 698
    Residential mental retardation facilities;62321;11 570;15 607;16 416;17 709;3 297;4 638;4 981;5 345
  Community care facilities for the elderly;6233;22 104;30 612;31 878;34 676;10 812;16 070;16 964;18 220
    Continuing care retirement communities;623311;12 948;17 609;18 282;20 121;3 576;5 677;6 039;6 662
    Homes for the elderly;623312;9 156;13 003;13 596;14 555;7 236;10 393;10 925;11 558
  Other residential care facilities;6239;6 646;8 519;8 709;9 141;891;1 291;1 298;1 496
Social assistance \2;624;77 032;110 493;116 147;124 521;15 684;24 342;27 246;32 122
  Individual and family services;6241;37 311;52 806;56 994;61 558;3 824;7 395;8 766;10 252
  Community food and housing, and emergency;;;;;;;;;
   and other relief services.;6242;12 281;18 935;18 881;18 579;46;(S);(S);(S)
  Vocational rehabilitation services;6243;9 458;13 921;13 550;13 425;1 593;2 655;2 754;2 715
  Child day care services;6244;17 982;24 831;26 722;30 959;10 221;14 170;15 580;18 977
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
