Source of revenue;Offices of physicians (NAICS 6211);;Offices of dentists (NAICS 6212);;;;;;;;
;;;;;;    Hospitals  ;;;;;
;;;;;;       (NAICS 622);;;Nursing and residential;;
;;;;;;;;;care facilities;;
;;;;;;;;;(NACIS 623);;
;2002;2007;2001;2002;2007;2002;2007;;2002;;2007
  Total;248 824;346 043;62 599;71 103;93 645;500 113;687 135;;127 114;;160 037
Medicare;59 756;74 032;(S);(S);789;161 306;177 200;;16 332;;25 997
Medicaid;17 923;18 321;1 790;2 462;3 690;59 385;69 408;;51 629;;59 285
Other government \1;2 479;4 687;(S);(S);454;26 174;34 139;;9 973;;11 332
Worker's compensation;8 416;7 219;(S);(S);86;5 478;6 658;;(S);;(S)
Private insurance;121 246;173 245;33 201;36 618;42 593;185 985;286 764;;7 124;;7 423
Patient (out of pocket);26 022;35 333;27 174;30 744;42 575;26 108;31 251;\2;31 432;\2;37 849
Other patient care sources, not elsewhere classified \3;8 679;19 162;434;(S);2 861;11 829;22 412;;3 321;;6 518
Nonpatient care revenue;4 304;(S);(S);(S);(S);23 848;(S);;7 271;;(S)
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
