Characteristics;2001;2002;2003;2004;2005;2006;2007;2008;2009
Total number of DOs;46 990;49 210;51 684;54 087;56 512;58 940;61 379;64 000;67 167
Sex;;;;;;;;;
  Female;10 875;11 832;12 894;13 969;15 147;16 416;17 667;19 138;20 808
  Male;36 115;37 378;38 790;40 118;41 365;42 524;43 712;44 862;46 359
Age ;;;;;;;;;
  Less than 35 years old;9 866;10 528;11 227;11 537;12 983;13 241;12 464;13 251;15 246
  35 to 44 years old;14 798;14 993;15 226;15 782;16 179;16 970;17 870;18 638;19 212
  45 to 54 years old;12 754;13 434;14 173;14 752;13 845;15 391;15 812;15 931;15 985
  55 to 64 years old;4 706;5 305;5 839;6 552;7 998;7 605;8 958;9 819;10 327
  65 years old and over;4 838;4 915;5 165;5 318;5 189;5 305;5 838;6 120;6 189
  Unknown;28;35;54;146;318;428;437;241;208
Self-identified practice specialty \1;31 996;33 452;35 132;36 781;38 442;40 378;42 485;43 896;46 031
  Family and general practice;14 102;14 929;15 826;16 752;17 800;18 610;18 976;18 680;18 792
  General internal Medicine;2 592;2 700;2 870;2 994;3 107;3 468;3 847;4 171;4 596
  General pediatrics/adolescent medicine;958;985;1 056;1 127;1 176;1 325;1 409;1 525;1 716
  Obstetrics and gynecology;1 219;1 293;1 362;1 416;1 465;1 543;1 616;1 858;1 986
  Pediatric specialties;320;334;338;347;348;365;382;470;532
  Osteopathic specialties \2;414;423;430;448;464;498;602;656;805
  Other specialties;12 001;12 292;12 634;13 050;13 431;14 020;14 876;16 178;17 396
  Unknown;390;496;616;647;651;549;777;358;208
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
