;None;;;;1 to 3 visits;;;;     4 to 9 visits;;;;10 or more visits;;;
Characteristic;;;;;;;;;;;;;;;;
;2000;2005;2006;2007;2000;2005;2006;2007;2000;2005;2006;2007;2000;2005;2006;2007
    All persons \1 \2;16,7;15,6;17,2;16,4;45,4;46,2;46,9;47,2;24,6;24,6;23,1;23,6;13,3;13,7;12,8;12,8
SEX: \2;;;;;;;;;;;;;;;;
  Male;21,7;20,4;22,8;21,3;45,9;46,9;46,8;47,3;22,3;21,9;20,0;20,9;10,1;10,8;10,4;10,5
  Female;11,9;10,8;11,8;11,5;44,8;45,5;46,8;47,1;27,0;27,3;26,2;26,3;16,3;16,4;15,2;15,1
AGE:;;;;;;;;;;;;;;;;
  Under 18 years;12,3;10,2;10,9;10,3;53,8;56,3;57,2;57,0;26,2;26,1;24,6;25,5;7,6;7,4;7,3;7,2
  45 to 64 years;15,0;14,1;16,4;14,9;43,4;43,1;44,3;45,3;25,7;26,4;23,6;23,9;15,9;16,4;15,7;15,9
  65 to 74 years;9,0;6,0;6,7;8,4;34,5;34,8;34,6;35,4;34,5;35,1;36,6;36,0;22,1;24,1;22,1;20,3
  75 years and over;5,8;5,3;5,3;5,5;29,3;26,9;31,5;30,6;39,3;38,5;35,7;36,4;25,6;29,2;27,6;27,5
RACE: \2 \3;;;;;;;;;;;;;;;;
Race alone;;;;;;;;;;;;;;;;
  White ;16,1;15,2;17,2;16,2;45,1;46,0;46,2;46,8;25,2;24,9;23,4;24,0;13,6;14,0;13,2;13,0
  Black or African American;17,2;16,0;16,0;15,5;46,7;47,5;49,2;48,4;23,4;23,6;23,3;23,4;12,6;12,9;11,5;12,7
  American Indian or Alaska Native ;21,3;20,5;13,5;21,5;43,0;36,6;44,2;43,1;20,0;29,4;27,6;21,5;15,7;13,4;14,7;13,9
  Asian ;20,3;21,6;21,9;22,0;49,2;49,5;51,3;48,9;20,8;20,5;18,1;19,9;9,7;8,5;8,7;9,2
Two or more races;12,1;15,6;16,3;13,0;41,7;37,9;44,8;45,4;28,2;26,7;21,3;24,1;18,0;19,9;17,6;17,5
HISPANIC ORIGIN AND RACE:\2 \3 \4;;;;;;;;;;;;;;;;
Hispanic or Latino;26,8;24,0;27,1;25,2;41,8;42,4;43,0;44,6;19,8;21,7;19,6;20,3;11,6;11,9;10,3;9,9
  Mexican;31,0;26,7;31,1;28,0;40,8;41,7;40,8;42,9;17,8;20,5;18,3;19,5;10,3;11,1;9,8;9,6
Not Hispanic or Latino;15,2;13,9;15,4;14,7;45,9;46,8;47,6;47,7;25,3;25,2;23,7;24,2;13,6;14,0;13,2;13,4
  White, non-Hispanic;14,5;13,1;15,0;14,1;45,4;46,7;46,9;47,4;25,9;25,7;24,2;24,8;14,1;14,6;13,9;13,7
  Black, non-Hispanic;17,1;16,0;15,7;15,1;46,8;47,5;49,5;48,6;23,5;23,6;23,4;23,5;12,6;12,9;11,4;12,8
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
