Ambulatory Care Visits to Physicians;;;;;;;Visits per 100 persons;;;;;;;;;;;;;;
;;Number of visits (mil.);;;;;;;;;;;;;;;;;;;
;;Physi-;;Outpa-;;Emer-;;Physi-;;Outpa-;;Emer-;;;;;;;;;
;;cian;;tient;;gency;;cian;;tient;;gency;;;;;;;;;
;Total;offices;;dept.;;dept.;Total;offices;;dept.;;dept.;;;;;;;;;
    Total ;1 200,0;994,3;;88,9;;116,8;405,0;335,6;;30,0;;39,4;;;;;;;;;
Age:;;;;;;;;;;;;;;;;;;;;;
  Under 15 years old;205,8;167,5;;16,0;;22,3;338,2;275,3;;26,3;;36,7;;;;;;;;;
  15 to 24 years old;111,2;81,6;;10,6;;19,0;267,9;196,6;;25,6;;45,7;;;;;;;;;
  25 to 44 years old;259,3;203,2;;22,7;;33,5;317,5;248,8;;27,8;;41,0;;;;;;;;;
  45 to 64 years old;334,1;283,9;;25,7;;24,5;439,3;373,3;;33,8;;32,2;;;;;;;;;
  65 to 74 years old;142,5;127,8;;7,8;;6,9;745,9;668,9;;40,9;;36,2;;;;;;;;;
  75 years old and over;147,2;130,4;;6,1;;10,6;858,7;761,0;;35,7;;62,0;;;;;;;;;
Sex:;;;;;;;;;;;;;;;;;;;;;
  Male;500,8;413,8;;33,4;;53,6;345,3;285,3;;23,0;;37,0;;;;;;;;;
  Female;699,2;580,5;;55,5;;63,2;462,3;383,8;;36,7;;41,8;;;;;;;;;
Race: \2;;;;;;;;;;;;;;;;;;;;;
  White;966,2;818,2;;62,8;;85,2;406,9;344,6;;26,5;;35,9;;;;;;;;;
  Black/African American;168,0;118,3;;21,8;;27,9;449,9;316,8;;58,4;;74,6;;;;;;;;;
  Asian;44,9;40,6;;2,1;;2,1;337,4;305,4;;15,9;;16,0;;;;;;;;;
Native Hawaiian/Other Pacific Islander;4,3;3,6;\1;0,3;;0,3;807,0;686,4;\1;61,4;;59,2;;;;;;;;;
  American Indian/Eskimo/Aleut;12,5;10,9;\1;0,6;\1;1,0;433,1;377,0;\1;20,4;\1;35,7;;;;;;;;;
  More than one race reported ;4,2;2,7;\1;1,2;;0,3;86,7;55,1;\1;25,7;;5,9;;;;;;;;;
Expected sources of payment \3: ;;;;;;;;;;;;;;;;;;;;;
  Private insurance;722,0;640,9;;35,5;;45,6;(X);(X);;(X);;(X);;;;;;;;;
  Medicare;274,9;239,1;;15,7;;20,1;(X);(X);;(X);;(X);;;;;;;;;
  Medicaid/SCHIP \4;181,2;122,4;;29,5;;29,4;(X);(X);;(X);;(X);;;;;;;;;
  Worker's compensation;15,2;12,5;;0,9;;1,8;(X);(X);;(X);;(X);;;;;;;;;
  No insurance \5:;74,9;48,7;;8,3;;17,9;(X);(X);;(X);;(X);;;;;;;;;
    Self pay;68,2;45,6;;5,6;;17,0;(X);(X);;(X);;(X);;;;;;;;;
    No charge;7,5;3,5;\1;2,8;;1,2;(X);(X);;(X);;(X);;;;;;;;;
  Other;34,9;27,6;;4,6;;2,8;(X);(X);;(X);;(X);;;;;;;;;
  Unknown;54,3;39,9;;3,9;;10,5;(X);(X);;(X);;(X);;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
