2007;Number;Rate per;;;;;
Leading;(1,000);1,000 ;;;;;
diagnoses \1;;persons \2;;;;;
MALE;;;;;;;
    All ages;53 632;372;;;;;
Under 15 years old \3;12 233;394;;;;;
  Acute upper respiratory infections \4;1 249;40;;;;;
  Otitis media and eustachian ;;;;;;;
   tube disorders;944;30;;;;;
  Open wound of head;651;21;;;;;
  Contusion with intact skin surface;583;19;;;;;
  Pyrexia of unknown origin;541;17;;;;;
15 to 44 years old \3;22 685;368;;;;;
  Open wound, excluding head;1 259;20;;;;;
  Contusion with intact skin surface;1 050;17;;;;;
  Sprains and strains, ;;;;;;;
   excluding ankle and back;744;13;;;;;
  Chest pain;724;12;;;;;
  Cellulitis and abscess;716;12;;;;;
45 to 64 years old \3;11 715;324;;;;;
  Chest pain;697;19;;;;;
  Open wound, excluding head;557;15;;;;;
  Spinal disorders;416;12;;;;;
  Cellulitis and abscess;402;11;;;;;
  Contusion with intact skin surface;375;10;;;;;
65 years old and over \3;6 999;460;;;;;
  Heart disease, excluding ischemic;461;30;;;;;
  Chest pain;422;28;;;;;
  Pneumonia;225;15;;;;;
  Cellulitis and abscess;206;14;;;;;
  Open wound, excluding head;197;13;;;;;
FEMALE;;;;;;;
    All ages;63 170;421;;;;;
Under 15 years old \3;10 072;340;;;;;
  Acute upper respiratory infections \4;929;31;;;;;
  Otitis media and Eustachian ;;;;;;;
   tube disorders;614;21;;;;;
  Unspecified viral and chlamydial ;;;;;;;
   infections;503;17;;;;;
  Contusion with intact skin surface;451;15;;;;;
  Pyrexia of unknown origin;433;15;;;;;
15 to 44 years old \3;29 780;481;;;;;
  Abdominal pain;1 947;31;;;;;
  Complications of pregnancy, ;;;;;;;
   childbirth, and the puerperium;1 784;29;;;;;
  Contusion with intact skin surface;1 074;17;;;;;
  Chest pain;882;14;;;;;
  Sprains and strains of neck and back;880;14;;;;;
45 to 64 years old \3;12 776;334;;;;;
  Chest pain;690;18;;;;;
  Abdominal pain;650;17;;;;;
  Spinal disorders;482;13;;;;;
  Contusion with intact skin surface;429;11;;;;;
  Arthropathies and related disorders;357;9;;;;;
65 years old and over \3;10 541;517;;;;;
  Chest pain;576;28;;;;;
  Contusion with intact skin surface;548;27;;;;;
  Heart disease, excluding ischemic;520;25;;;;;
  Urinary tract infection, ;;;;;;;
   site not specified;391;19;;;;;
  Abdominal pain;322;16;;;;;
;;;;;;;
Source: U.S. National Center for Health Statistics, National Health Statistics Reports, forthcoming.;;;;;;;
;;;;;;;
;;;;;;;
