;;Number of procedures  (1,000);;;;;Rate per 1,000 population \1;;;;
Sex and type of procedure;;;;;;;;;;;
;1990;1995;2000;2005;2006;1990;1995;2000;2005;2006;
;;;;;;;;;;;
  Surgical procedures, total \2 ;23 051;22 530;23 244;26 564;28 036;92,4;86,2;83,6;90,0;94,0;
Coronary artery bypass graft \3;392;573;519;620;444;1,6;2,2;1,9;1,6;1,5;
Cesarean section ;945;785;855;1 262;1 295;3,8;3,0;3,1;4,3;4,3;
Repair of current obstetric laceration;795;964;1 136;1 259;1 308;3,2;3,7;4,1;4,3;4,4;
Cardiac catheterization ;995;1 068;1 221;1 209;1 115;4,0;4,1;4,4;4,1;3,7;
Reduction of fracture \4;609;577;628;621;672;2,4;2,2;2,3;2,1;2,3;
  Male, total \2 ;8 538;8 388;8 689;10 371;11 199;70,6;65,9;63,9;71,5;76,4;
Reduction of fracture \4;312;292;285;293;326;2,6;2,3;2,1;2,0;2,2;
Cardiac catheterization ;620;660;732;742;666;5,1;5,2;5,4;5,1;4,5;
Coronary artery bypass graft \3;286;423;371;321;320;2,4;3,3;2,7;2,2;2,2;
  Female total \2 ;14 513;14 142;14 556;16 193;16 837;113,0;105,3;102,4;107,8;111,0;
Cesarean section;945;785;855;1 262;1 295;7,4;5,8;6,0;8,4;8,5;
Repair of current obstetric laceration;795;964;1 136;1 259;1 308;6,2;7,2;8,0;8,4;8,6;
Hysterectomy;591;583;633;575;569;4,6;4,3;4,5;3,8;3,8;
  Diagnostic and other nonsurgical;;;;;;;;;;;
   procedures \5 ;17 455;17 278;16 737;18 387;17 927;70,0;66,1;60,2;62,3;60,1;
Angiocardiography and arteriography \6;1 735;1 834;2 005;1 986;1 698;7,0;7,0;7,2;6,7;5,7;
Respiratory therapy;1 164;1 127;991;1 160;1 088;4,7;4,3;3,6;3,9;3,6;
Manual assisted delivery;750;866;898;1 022;1 207;3,0;3,3;3,2;3,5;4,0;
Diagnostic ultrasound ;1 608;1 181;886;884;888;6,4;4,5;3,2;3,0;3,0;
Fetal electrocardiogram and fetal monitoring;1 377;935;750;828;797;5,6;3,6;2,7;2,8;2,7;
  Male, total \5;7 378;7 261;6 965;7 620;7 283;61,0;57,1;51,2;52,6;49,7;
Angiocardiography and arteriography \6;1 051;1 076;1 157;1 125;938;8,7;8,5;8,5;7,8;6,4;
Respiratory therapy;586;572;507;606;561;4,9;4,5;3,7;4,2;3,8;
Computerized Axial Tomographic scan ;736;473;345;378;366;6,1;3,7;2,5;2,6;2,5;
  Female, total \5 ;10 077;10 016;9 772;10 767;10 645;78,5;74,6;68,8;71,7;70,2;
Manual assisted delivery;750;866;898;1 022;1 207;5,9;6,5;6,3;6,8;8,0;
Fetal electrocardiogram and fetal monitoring;1 377;935;750;828;797;10,8;7,0;5,5;5,5;5,3;
Respiratory therapy;578;555;484;554;527;4,5;4,1;3,4;3,7;3,5;
Diagnostic ultrasound;941;682;501;473;477;7,3;5,1;3,5;3,1;3,1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
