;;;;;;;;;;;;
;;Discharges;;;;;;;;;;
;;;;;Days;;;;;Average;;
Age, race, and region;Number;;Per 1,000;;of care;;;;;stay;;
;(1,000);;persons \1;;per 1,000 persons\1;;;;;(days);;
;;;;;;;;;;;;
;2002;2006;2002;2006;2002;2003;2004;2005;2006;2002;2006;
;;;;;;;;;;;;
    Total \2;33 727;34 854;118;117;572;578;575;562;558;4,9;4,8;
Age:;;;;;;;;;;;;
  Under 1 year old;810;751;201;182;1 134;1 218;1 244;1 213;1 162;5,6;6,4;
  1 to 4 years old;713;682;46;42;159;149;142;136;141;3,5;3,4;
  5 to 14 years old;1 016;865;25;21;109;108;106;104;97;4,4;4,5;
  15 to 24 years old;3 083;3 132;77;75;266;268;257;261;264;3,5;3,5;
  25 to 34 years old;3 897;4 045;99;101;328;353;343;343;346;3,3;3,4;
  35 to 44 years old;3 757;3 623;84;84;368;359;363;351;358;4,4;4,3;
  45 to 64 years old;7 723;8 686;116;116;575;582;592;572;579;5,0;5,0;
  65 to 74 years old ;4 642;4 793;254;253;1 412;1 429;1 405;1 399;1 317;5,6;5,2;
  75 years old and over;8 085;8 278;467;451;2 795;2 776;2 715;2 594;2 541;6,0;5,6;
Race:;;;;;;;;;;;;
  White;20 806;20 907;90;88;436;437;431;422;414;4,9;4,7;
  Black;3 995;4 241;109;111;584;611;597;584;621;5,3;5,6;
  Asian/Pacific Islander;538;619;45;45;243;231;230;247;244;5,4;5,4;
  American Indian/Eskimo/Aleut;173;103;63;36;330;224;202;169;151;5,2;4,2;
Region:;;;;;;;;;;;;
  Northeast;6 990;7 277;129;133;727;735;732;710;703;5,6;5,3;
  Midwest;7 503;7 951;115;120;512;520;513;512;508;4,4;4,2;
  South;12 994;13 140;127;121;618;610;617;588;595;4,9;4,9;
  West;6 239;6 486;96;94;430;455;439;451;432;4,5;4,6;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
