Procedure;2002;2003;2004;2005;2006;2007;2008;;;;;
;;;;;;;;;;;;
    Total all procedures;6 889,5;8 252,0;11 855,0;11 428,8;11 456,8;11 701,0;10 258,6;;;;;
  Total surgical procedures;1 620,7;1 819,5;2 120,0;2 131,0;1 922,8;2 079,0;1 766,7;;;;;
Breast augmentation;249,6;280,4;334,1;364,6;383,9;399,4;355,7;;;;;
Lipoplasty (Liposuction);372,8;384,6;478,3;455,5;403,7;456,8;341,1;;;;;
Blepharoplasty (eyelid surgery);229,1;267,6;290,3;231,5;210,0;240,8;195,1;;;;;
Rhinoplasty (nose reshaping);157,0;172,4;166,2;200,9;141,9;151,8;152,4;;;;;
Abdominoplasty (tummy tuck);83,0;117,7;151,0;169,3;172,5;185,3;147,4;;;;;
Breast reduction;125,6;147,2;144,4;160,5;145,8;153,1;139,9;;;;;
  Otoplasty (cosmetic ear surgery);33,6;27,8;26,4;27,3;20,4;;;;;;;
  Rhinoplasty (nose reshaping);157,0;172,4;166,2;200,9;141,9;;;;;;;
  Total nonsurgical procedures;5 268,8;6 432,5;9 735,0;9 297,7;9 534,0;9 622,0;8 491,9;;;;;
Botox injection;1 658,7;2 272,1;2 837,3;3 294,8;3 181,6;2 775,2;2 464,1;;;;;
Laser hair removal;736,5;923,2;1 411,9;1 566,9;1 475,3;1 412,7;1 281,0;;;;;
Hyaluronic acid \1;(X);116,2;882,5;1 194,2;1 593,6;1 448,7;1 262,8;;;;;
Chemical peel;495,4;722,2;1110,4;556,2;558,4;575,1;591,8;;;;;
Laser skin resurfacing;72,5;127,5;589,7;475,7;576,5;509,9;570,9;;;;;
Microdermabrasion \2;1 032,4;858,3;1 098,3;1 023,9;993,1;829,7;557,1;;;;;
IPL laser treatment \3;(X);(X);(X);(X);(X);647,7;526,8;;;;;
    Total female procedures;6 081,9;7 177,9;10 681,4;10 443,8;10 516,7;10 602,5;9 394,8;;;;;
  Total surgical procedures;1 407,7;1 559,4;1 887,3;1 918,1;1 730,5;1 877,1;1 600,7;;;;;
Breast augmentation;249,6;280,4;334,1;364,6;383,9;399,4;355,7;;;;;
Lipoplasty (Liposuction);316,5;323,0;416,6;402,9;350,4;398,8;309,7;;;;;
Blepharoplasty (eyelid surgery);192,8;216,8;249,3;198,1;182,4;208,2;166,4;;;;;
Abdominoplasty (tummy tuck);79,7;112,7;145,3;164,1;164,8;180,5;143,0;;;;;
Breast reduction;125,6;147,2;144,4;160,5;145,8;153,1;139,9;;;;;
  Total nonsurgical procedures;4 674,2;5 618,6;8 794,1;8 525,7;8 786,2;8 725,4;7 794,1;;;;;
Botox injection;1 424,9;1 963,0;2 525,4;2 990,7;2 881,1;2 445,7;2 239,0;;;;;
Hyaluronic acid \1;(X);104,7;838,9;1 149,2;1 519,9;1 364,5;1 200,4;;;;;
Laser hair removal;588,5;695,2;1 215,1;1 334,7;1 308,7;1 227,0;1 101,3;;;;;
Chemical peel;453,5;640,1;977,3;533,0;530,1;536,0;554,5;;;;;
Laser skin resurfacing;68,2;116,5;520,3;432,6;528,1;479,8;532,0;;;;;
Microdermabrasion \2;936,2;774,3;999,1;939,5;922,0;743,7;517,3;;;;;
IPL laser treatment \3;(X);(X);(X);(X);(X);584,5;479,9;;;;;
Sclerotherapy (Spider veins);291,1;431,3;479,2;548,0;541,3;467,8;417,5;;;;;
    Total male procedures;807,7;1 074,1;1 173,6;984,9;940,0;1 098,6;863,7;;;;;
"  <chgrow;bold>Total surgical procedures";213,1;260,1;232,7;212,9;192,3;202,0;166,0;;;;;
Lipoplasty (Liposuction);56,3;61,6;61,6;52,5;53,3;58,0;31,5;;;;;
Rhinoplasty (nose reshaping);39,0;53,4;39,0;45,9;33,1;31,7;30,2;;;;;
Blepharoplasty (eyelid surgery);36,3;50,8;41,1;33,4;27,6;32,6;28,7;;;;;
Gynecomastia (male breast reduction);16,6;22,0;19,6;17,7;23,7;20,3;19,1;;;;;
Hair transplantation;17,3;14,9;19,5;11,2;11,2;16,5;18,1;;;;;
Facelift;11,1;13,6;11,8;13,0;14,1;12,4;13,4;;;;;
  Total nonsurgical procedures;594,6;814,0;932,6;772,0;747,7;896,6;697,8;;;;;
Botox injection;233,8;309,1;311,9;304,1;300,5;329,5;225,1;;;;;
Laser hair removal;147,9;228,0;196,8;232,2;166,6;185,7;179,7;;;;;
Hyaluronic acid \1;(X);11,5;43,6;45,0;73,6;84,2;62,4;;;;;
IPL laser treatment \3;(X);(X);(X);(X);(X);63,2;46,9;;;;;
Microdermabrasion \2;96,2;84,0;99,2;84,4;71,1;85,9;39,8;;;;;
Laser skin resurfacing;4,2;11,0;69,4;43,1;48,5;30,1;38,9;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
