;;;;;;
; New cases \1 ;;;     Deaths ;;
State;;;Lung ;;;Lung 
;;;&;;;&
;Total \2;Female;bron-;Total \2;Female;bron-
;;breast;chus;;breast;chus
  United States ;1 479,4;192,4;219,4;562,3;40,2;159,4
Alabama ;24,1;3,0;4,0;9,9;0,7;3,1
Alaska ;2,5;0,4;0,4;0,8;0,1;0,2
Arizona;27,6;3,5;4,0;10,3;0,7;2,8
Arkansas;14,8;1,8;2,6;6,2;0,4;2,2
California ;152,2;21,7;17,9;54,6;4,0;12,8
Colorado;20,3;2,8;2,2;6,7;0,5;1,7
Connecticut ;20,7;2,8;2,7;7,0;0,5;1,8
Delaware ;4,7;0,6;0,8;1,9;0,1;0,6
District of Columbia ;2,6;0,3;0,4;1,0;0,1;0,2
Florida ;102,2;12,7;17,8;41,3;2,7;12,2
Georgia;39,1;5,4;6,2;15,0;1,1;4,7
Hawaii ;6,4;0,9;0,7;2,3;0,1;0,6
Idaho ;6,8;0,8;0,8;2,5;0,2;0,6
Illinois;61,0;7,6;9,2;23,2;1,8;6,5
Indiana ;31,3;3,7;5,4;12,8;0,9;4,0
Iowa ;16,7;2,1;2,6;6,4;0,4;1,8
Kansas ;13,1;1,8;2,1;5,3;0,4;1,6
Kentucky ;24,1;2,8;4,7;9,4;0,6;3,4
Louisiana;22,2;2,7;3,7;8,8;0,7;2,7
Maine ;9,0;1,1;1,4;3,2;0,2;1,0
Maryland ;26,7;3,7;4,1;10,3;0,8;2,9
Massachusetts ;36,1;4,8;5,1;13,1;0,9;3,6
Michigan ;53,6;6,5;8,2;20,5;1,4;5,8
Minnesota ;23,7;3,3;3,3;9,0;0,6;2,4
Mississippi ;14,2;1,8;2,3;6,1;0,4;2,0
Missouri ;30,1;3,9;5,6;12,6;0,9;4,1
Montana ;5,3;0,6;0,7;2,0;0,1;0,6
Nebraska ;8,8;1,2;1,2;3,4;0,2;0,9
Nevada ;12,0;1,4;1,9;4,6;0,3;1,3
New Hampshire ;7,6;1,0;1,1;2,6;0,2;0,8
New Jersey ;47,9;6,4;6,3;16,5;1,5;4,2
New Mexico ;8,8;1,1;1,0;3,3;0,2;0,7
New York ;101,6;13,5;13,6;34,2;2,6;8,8
North Carolina ;42,3;5,5;6,7;18,6;1,3;5,6
North Dakota ;3,2;0,4;0,4;1,3;0,1;0,4
Ohio ;62,4;7,3;10,7;24,4;1,8;7,3
Oklahoma ;18,1;2,3;3,2;7,4;0,5;2,4
Oregon ;19,2;2,7;2,6;7,4;0,5;2,1
Pennsylvania ;74,2;9,4;10,5;28,7;2,1;8,1
Rhode Island ;6,3;0,8;0,9;2,2;0,1;0,6
South Carolina ;22,1;2,8;3,7;9,1;0,6;2,9
South Dakota ;4,1;0,5;0,6;1,6;0,1;0,5
Tennessee ;32,6;4,0;5,4;13,3;0,9;4,5
Texas;98,2;13,1;14,2;36,0;2,6;9,8
Utah ;8,9;1,1;0,6;2,8;0,3;0,5
Vermont ;3,6;0,5;0,5;1,2;0,1;0,4
Virginia ;34,2;4,9;5,3;13,9;1,1;4,3
Washington ;32,3;4,5;4,1;11,2;0,8;3,1
West Virginia ;10,2;1,2;2,0;4,5;0,3;1,5
Wisconsin ;27,6;3,5;4,0;11,2;0,8;2,9
Wyoming ;2,5;0,3;0,3;1,0;0,1;0,3
;;;;;;
;;;;;;
;;;;;;
;;;;;;
