State;;;
;;;Lyme
;AIDS;Chlamydia; disease
;;;
      United States ;37 503;1 108 374;27 444
Alabama ;391;25 153;13
Alaska ;32;4 911;10
Arizona ;585;24 866;2
Arkansas ;196;9 954;8
California ;4 952;141 928;75
Colorado ;355;17 186;0
Connecticut ;528;11 454;3 058
Delaware ;171;3 479;715
District of Columbia ;871;6 029;116
Florida ;3 961;57 575;30
Georgia ;1 877;42 913;11
Hawaii ;78;5 659;(\1)
Idaho ;23;3 722;9
Illinois ;1 348;55 470;149
Indiana ;329;20 712;55
Iowa ;76;8 643;123
Kansas ;132;8 180;8
Kentucky ;292;8 798;6
Louisiana ;879;19 362;2
Maine ;46;2 541;529
Maryland ;1 394;23 150;2 576
Massachusetts ;612;16 145;2 988
Michigan ;628;37 353;51
Minnesota ;197;13 413;1 238
Mississippi ;352;21 686;1
Missouri ;542;23 308;10
Montana ;25;2 748;4
Nebraska ;80;5 132;9
Nevada ;335;9 514;15
New Hampshire ;51;2 055;896
New Jersey;1 164;21 536;3 134
New Mexico ;113;9 460;5
New York ;4 810;80 717;4 165
North Carolina ;1 024;30 611;53
North Dakota ;8;1 789;12
Ohio ;703;47 434;33
Oklahoma ;264;12 529;1
Oregon ;239;9 849;26
Pennsylvania ;1 750;42 469;3 994
Rhode Island ;66;3 177;177
South Carolina ;742;26 431;31
South Dakota ;15;2 620;0
Tennessee ;658;26 866;50
Texas ;2 964;85 786;87
Utah ;68;5 721;7
Vermont ;6;1 057;138
Virginia ;634;24 579;959
Washington ;427;18 784;12
West Virginia ;76;3 168;84
Wisconsin ;199;19 555;1 814
Wyoming ;13;1 197;4
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
