;;;;;;
;;2007;;Cumulative thru 2007 /1 ;;
Transmission category;Total;Male;Female;Total;Male;Female
;;;;;;
Persons 13 years old and over, total.;38 297;28 320;9 977;1 021 242;820 037;201 205
Male-to-male sexual contact;14 383;14 383;(X);445 645;445 645;(X)
Injection drug use;4 736;3 103;1 633;235 842;166 251;69 591
Male-to-male sexual contact ;;;;;;
and injection drug use;1 514;1 514;(X);67 797;67 797;(X)
Hemophilia/coagulation disorder;46;37;9;5 567;5 212;355
High-risk heterosexual contact;7 504;2 791;4 713;142 852;52 623;90 229
  Sex with injection drug user;985;281;704;38 766;11 941;26 825
  Sex with bisexual male;233;(X);233;5 415;(X);5 415
  Sex with person with hemophilia;14;4;10;603;90;513
  Sex with HIV-infected person, transfusion recipient;56;31;25;1 403;584;819
  Sex with HIV-infected person,;;;;;;
   risk factor not specified;6 216;2 475;3 741;96 665;40 008;56 657
Receipt of blood transfusion, blood ;;;;;;
 components, or tissue.;109;50;59;9 315;5 181;4 134
Other/risk not reported or identified;10 005;6 442;3 563;114 224;77 328;36 896
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
