;;;;;;;;;;;;;;;
Disability;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;;
;;;;;;;;;;;;;;;
    Total;5 078,8;5 230,7;5 396,9;5 539,7;5 677,9;5 773,9;5 861,4;5 959,1;6 045,4;6 116,4;6 113,5;6 085,6;6 007,8;;
Specific learning disabilities;2 601,8;2 674,3;2 754,4;2 815,5;2 867,7;2 881,6;2 878,3;2 878,6;2 867,1;2 839,3;2 782,8;2 711,8;2 620,2;;
Speech or language impairments;1 026,9;1 048,7;1 063,6;1 074,1;1 087,8;1 093,4;1 093,2;1 110,9;1 128,1;1 149,6;1 156,9;1 162,1;1 154,2;;
Mental retardation;585,6;593,6;603,3;610,7;614,3;613,4;605,0;591,7;582,6;567,6;546,0;523,5;498,2;;
Emotional disturbance;439,2;446,3;454,4;462,8;469,8;474,3;477,8;482,0;484,5;484,5;472,5;458,8;440,2;;
Multiple disabilities;94,5;99,4;107,3;107,8;113,0;122,9;128,7;130,8;132,7;133,4;134,0;133,8;132,6;;
Hearing impairments;68,0;68,8;69,8;70,9;71,4;70,8;71,2;72,0;72,0;72,6;72,4;72,8;72,2;;
Orthopedically impairments;63,2;66,3;67,4;69,4;71,4;73,0;73,7;74,0;68,2;65,4;63,1;62,0;60,5;;
Other health impairments;134,2;161,4;191,1;221,8;255,3;294,0;341,3;393,0;452,7;512,2;561,6;600,4;631,2;;
Visual impairments;25,5;25,8;26,0;26,1;26,4;26,0;25,8;26,1;25,9;26,1;26,0;26,5;26,4;;
Autism;29,1;34,4;42,5;54,1;66,0;79,6;98,6;118,8;141,1;166,5;193,8;224,6;258,3;;
Deaf-blind;1,4;1,2;1,3;1,6;1,7;1,3;1,6;1,6;1,7;1,7;1,6;1,4;1,4;;
Traumatic brain injury;9,6;10,5;11,9;13,0;13,9;14,9;20,8;21,5;22,5;23,3;23,5;23,8;23,9;;
Developmental delay \1;(X);(X);3,8;11,9;19,3;28,6;45,3;58,3;66,3;74,4;79,1;84,0;88,6;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
