"Построить графики 
функций ";;;;;;;;;;;;;
x;f1(x);f2(x);;;;;;;;;;;
-10;100,01;21;;;;;;;;;;;
-9,7;94,10;20,4;;;;;;;;;;;
-9,4;88,37;19,8;;;;;;;;;;;
-9,1;82,82;19,2;;;;;;;;;;;
-8,8;77,45;18,6;;;;;;;;;;;
-8,5;72,26;18;;;;;;;;;;;
-8,2;67,25;17,4;;;;;;;;;;;
-7,9;62,43;16,8;;;;;;;;;;;
-7,6;57,78;16,2;;;;;;;;;;;
-7,3;53,31;15,6;;;;;;;;;;;
-7;49,02;15;;;;;;;;;;;
-6,7;44,91;14,4;;;;;;;;;;;
-6,4;40,98;13,8;;;;;;;;;;;
-6,1;37,24;13,2;;;;;;;;;;;
-5,8;33,67;12,6;;;;;;;;;;;
-5,5;30,28;12;;;;;;;;;;;
-5,2;27,08;11,4;;;;;;;;;;;
-4,9;24,05;10,8;;;;;;;;;;;
-4,6;21,21;10,2;;;;;;;;;;;
-4,3;18,54;9,6;;;;;;;;;;;
-4;16,06;9;;;;;;;;;;;
-3,7;13,76;8,4;;;;;;;;;;;
-3,4;11,65;7,8;;;;;;;;;;;
-3,1;9,71;7,2;;;;;;;;;;;
-2,8;7,97;6,6;;;;;;;;;;;
-2,5;6,41;6;;;;;;;;;;;
-2,2;5,04;5,4;;;;;;;;;;;
-1,9;3,88;4,8;;;;;;;;;;;
-1,6;2,92;4,2;;;;;;;;;;;
-1,3;2,20;3,6;;;;;;;;;;;
-1;1,73;3;;;;;;;;;;;
-0,7;1,50;2,4;;;;;;;;;;;
-0,4;1,42;1,8;;;;;;;;;;;
-0,1;1,41;1,2;;;;;;;;;;;
0,2;1,41;0,6;;;;;;;;;;;
0,5;1,44;0;;;;;;;;;;;
0,8;1,55;0,6;;;;;;;;;;;
1,1;1,86;1,2;;;;;;;;;;;
1,4;2,42;1,8;;;;;;;;;;;
1,7;3,22;2,4;;;;;;;;;;;
2;4,24;3;;;;;;;;;;;
2,3;5,48;3,6;;;;;;;;;;;
2,6;6,91;4,2;;;;;;;;;;;
2,9;8,53;4,8;;;;;;;;;;;
3,2;10,34;5,4;;;;;;;;;;;
3,5;12,33;6;;;;;;;;;;;
3,8;14,51;6,6;;;;;;;;;;;
4,1;16,87;7,2;;;;;;;;;;;
4,4;19,41;7,8;;;;;;;;;;;
4,7;22,14;8,4;;;;;;;;;;;
5;25,04;9;;;;;;;;;;;
5,3;28,13;9,6;;;;;;;;;;;
5,6;31,39;10,2;;;;;;;;;;;
5,9;34,84;10,8;;;;;;;;;;;
6,2;38,47;11,4;;;;;;;;;;;
6,5;42,27;12;;;;;;;;;;;
6,8;46,26;12,6;;;;;;;;;;;
7,1;50,43;13,2;;;;;;;;;;;
7,4;54,78;13,8;;;;;;;;;;;
7,7;59,31;14,4;;;;;;;;;;;
8;64,02;15;;;;;;;;;;;
8,3;68,90;15,6;;;;;;;;;;;
8,6;73,97;16,2;;;;;;;;;;;
8,9;79,22;16,8;;;;;;;;;;;
9,2;84,65;17,4;;;;;;;;;;;
9,5;90,26;18;;;;;;;;;;;
9,8;96,05;18,6;;;;;;;;;;;
