x;y;z
-3;-0,282;3,022
-2,8;-0,670;2,662
-2,6;-1,031;1,921
-2,4;-1,351;0,938
-2,2;-1,617;-0,114
-2;-1,819;-1,052
-1,8;-1,948;-1,716
-1,6;-1,999;-1,995
-1,4;-1,971;-1,841
-1,2;-1,864;-1,280
-1;-1,683;-0,407
-0,8;-1,435;0,630
-0,6;-1,129;1,652
-0,4;-0,779;2,480
-0,2;-0,397;2,962
0;0,000;3,000
0,2;0,397;2,565
0,4;0,779;1,701
0,6;1,129;0,522
0,8;1,435;-0,805
1;1,683;-2,090
1,2;1,864;-3,144
1,4;1,971;-3,812
1,6;1,999;-3,994
1,8;1,948;-3,664
2;1,819;-2,870
2,2;1,617;-1,730
2,4;1,351;-0,413
2,6;1,031;0,890
2,8;0,670;1,992
3;0,282;2,739
