Перечень вычислительной техники, приобретенной кафедрами;;;;
Кафедра;Наименование;Кол-во;Цена;Сумма
Теплоэнергетики;Компьютеры;5;20000;100000
Теплоэнергетики;Сканеры;2;1900;3800
Теплоэнергетики;Аудиоколонки;2;250;500
Электрических станций;Компьютеры;4;22000;88000
Электрических станций;Принтеры;1;5800;5800
Электропривода;Компьютеры;6;20000;120000
Электропривода;Принтеры;3;5400;16200
Электропривода;Сканеры;1;2000;2000
Консолидированные данные;Компьютеры;15;62000;308000
;Сканеры;3;3900;5800
;Аудиоколонки;2;250;500
;Принтеры;4;11200;22000
