Спираль Архимеда;;;;;;;;;;;;;
t;r;x;y;;;;;;;;;;
0,00;0,00;0,00;0,00;;;;;;;;;;
0,20;0,10;0,10;0,02;;;;;;;;;;
0,40;0,20;0,18;0,08;;;;;;;;;;
0,60;0,30;0,25;0,17;;;;;;;;;;
0,80;0,40;0,28;0,29;;;;;;;;;;
1,00;0,50;0,27;0,42;;;;;;;;;;
1,20;0,60;0,22;0,56;;;;;;;;;;
1,40;0,70;0,12;0,69;;;;;;;;;;
1,60;0,80;-0,02;0,80;;;;;;;;;;
1,80;0,90;-0,20;0,88;;;;;;;;;;
2,00;1,00;-0,42;0,91;;;;;;;;;;
2,20;1,10;-0,65;0,89;;;;;;;;;;
2,40;1,20;-0,88;0,81;;;;;;;;;;
2,60;1,30;-1,11;0,67;;;;;;;;;;
2,80;1,40;-1,32;0,47;;;;;;;;;;
3,00;1,50;-1,48;0,21;;;;;;;;;;
3,20;1,60;-1,60;-0,09;;;;;;;;;;
3,40;1,70;-1,64;-0,43;;;;;;;;;;
3,60;1,80;-1,61;-0,80;;;;;;;;;;
3,80;1,90;-1,50;-1,16;;;;;;;;;;
4,00;2,00;-1,31;-1,51;;;;;;;;;;
4,20;2,10;-1,03;-1,83;;;;;;;;;;
4,40;2,20;-0,68;-2,09;;;;;;;;;;
4,60;2,30;-0,26;-2,29;;;;;;;;;;
4,80;2,40;0,21;-2,39;;;;;;;;;;
5,00;2,50;0,71;-2,40;;;;;;;;;;
5,20;2,60;1,22;-2,30;;;;;;;;;;
5,40;2,70;1,71;-2,09;;;;;;;;;;
5,60;2,80;2,17;-1,77;;;;;;;;;;
5,80;2,90;2,57;-1,35;;;;;;;;;;
6,00;3,00;2,88;-0,84;;;;;;;;;;
6,20;3,10;3,09;-0,26;;;;;;;;;;
6,40;3,20;3,18;0,37;;;;;;;;;;
6,60;3,30;3,14;1,03;;;;;;;;;;
6,80;3,40;2,96;1,68;;;;;;;;;;
7,00;3,50;2,64;2,30;;;;;;;;;;
7,20;3,60;2,19;2,86;;;;;;;;;;
7,40;3,70;1,62;3,33;;;;;;;;;;
7,60;3,80;0,95;3,68;;;;;;;;;;
7,80;3,90;0,21;3,89;;;;;;;;;;
8,00;4,00;-0,58;3,96;;;;;;;;;;
8,20;4,10;-1,39;3,86;;;;;;;;;;
8,40;4,20;-2,18;3,59;;;;;;;;;;
8,60;4,30;-2,92;3,16;;;;;;;;;;
8,80;4,40;-3,57;2,57;;;;;;;;;;
9,00;4,50;-4,10;1,85;;;;;;;;;;
9,20;4,60;-4,48;1,03;;;;;;;;;;
9,40;4,70;-4,70;0,12;;;;;;;;;;
9,60;4,80;-4,73;-0,84;;;;;;;;;;
9,80;4,90;-4,56;-1,80;;;;;;;;;;
10,00;5,00;-4,20;-2,72;;;;;;;;;;
