Компания;Ссылка;Чем занимаются;Контакт;Имя человека;Написал/не написал;Ответ
SF Education;https://sf.education/contacts;Аналитика, финансы, бизнес;;;Написал в ВК, на сайте;
Skillcup;https://www.skillcup.ru/;смм, маркетинг, копирайтинг;https://vk.com/id13741326;Екатерина;Написал в ТГ в группу, написал в ВК в личку, написал на почту;
Хекслет;https://ru.hexlet.io/;Программирование;https://vk.com/kirill_mokevnin;Кирилл;сделано КП;приняли предложение к рассмотрению
Lingualeo;https://lingualeo.com/ru;Изучение языков;support@lingualeo.com;;Написал на сайте, в ВК, на почту;приняли предложение к рассмотрению
Elbrus Bootcamp;https://elbrusboot.camp/contacts/;Программирование;ТГ - @elbrus_bootcamp;;написал в тг, на почту;
Level One;https://levelvan.ru/;Все подряд: софты, история, искусство;https://vk.com/npogozheva;Анастасия;сделано КП;
EdMarket;https://edmarket.ru/contacts;Маркетинг, продюссирование, создание онлайн-курсов;@Tamikatam;Татьяна;написал на почту, в личку в тг;
физикон;https://physicon.ru/company;Создание электронных курсов;info@physicon.ru;;написал на почту;
открытая школа;https://2035school.ru/login;курсы по школьным предметам;support@2035school.ru;;написал на почту;
каменный город;https://eduregion.ru/;курсы повышения квалификации;dm.ushakov@eduregion.ru;отдел маркетинга;написал в ВА, на почту;на рассмотрении
Степик;https://stepik.org/catalog;Все подряд, но больше технические;info@stepik.org;;написал на почту;
Motivity;https://motivity.ru/;Внедрение HR процессов;hello@motivity.digital;;;
ProctorEdu;https://proctoredu.ru/?ref=contacts;Система прокторинга, проведение онлайн-тестирований;partners@proctoredu.ru;;написал на сайте, написал на почту;
Deutsch Online;https://www.de-online.ru/index/0-3;Немецкий язык онлайн;pr@de-online.ru;;кп в процессе;
Mishka AI;https://mishkaai.com/#rec158237579;;;;Оставил на сайте заявку;
Modum Lab;https://modumlab.com/;Иммерсивные продукты для бизнеса и образования;hello@modumlab.com;;Написал на почту, написал в личку в ТГ;думают насчет созвона
Цифриум;https://cifrium.ru/;развитие талантов детей с помощью ИТ;e.buryakova@cifrium.ru;;написал на почту отделу развития;
Core;https://coreapp.ai/;создание онлайн-курсов;help@coreapp.ai;;Написал на почту;
5D Academy;https://academy5d.ru/;Курсы по рекламе;;;сделано КП;
Онлайн-школа удаленной работы GreenFreelance;https://gfl-school.ru/#rec305108844;Онлайн-школа удаленной работы GreenFreelance;;;написал в группу вк и в личку вк, написал в ВА;не актуально
На маркетплейсе с Лео Шевченко;https://leoshevchenko.ru/;бизнес на маркетплейсах;;;Написал в группу вк, написал в личку вк;
Школа REforma.LIFE;https://reforma.life/;нутрициология, питание;consultant@reforma.life;;написал на почту, написал в группу вк;
DS Consulting;https://ds-finance.ru/;Финансы;sale@ds-finance.ru;;написал на 2 почты;
The Best Marketing;https://the-bestmarketing.com/;бизнес процессы;info@the-bestmarketing.com;;написал на почту, в ТГ;
ProductStar;https://productstar.ru/;обучение менеджменту и аналитике;;;написал на почту, в вк, в директ;
Викиум;https://wikium.ru/;тренировка памяти, обучение ;support@wikium.ru;;сделано кп;передали в отдел маркетинга
Клерк;https://www.klerk.ru/;интернет-сми;;;Написал на почту;созвон 4 мая 12:00
Bonnie and slide;https://bonnieandslide.com/home;красивые презентации;academy@bonnieandslide.com (есть еще на сайте);;сделано КП;не интересует
Турбоподготовка;https://egeturbo.ru/;подготовка к ЕГЭ;info@egeturbo.ru;;;
Bang Bang Education;https://bangbangeducation.ru/;школа дизайна;info@bangbangeducation.ru (еще на сайте есть);;сделано кп;
Юрайт;https://urait.ru/;Универсальная образовательная платфмора;pr@urait.ru;;;
Hello world;https://hwschool.online/;Детская школа программирования;hello@hwschool.online (на сайте еще есть);;сделано кп;
Sikorsky Beauty Academy;https://www.sikorsky.academy/;Школа парикмахерского мастерства;info@cosmeticru.com;;;
Фармацевтический центр «Знание»;https://pharmznanie.ru/;Онлайн-обучение для провизоров и фармацевтов;pharm@pharmznanie.ru;;;
Sciencely;https://sciencely.ru/#school;Естественные науки для детей;info@sciencely.ru;;;
Eduson;https://www.eduson.tv/ru;онлайн-курсы для обучения сотрудников;https://www.facebook.com/Eduson;;;
Puzzle English;https://puzzle-english.com/;Онлайн-изучение английского языка;https://vk.com/puzzle_english (еще на сайте есть);;сделано кп;
Think24;https://think24.center/;профориентация и подготовка к экзаменам;;;кп делается;
WakeUp;https://wakeup-s.com/;;;;кп делается;
Skillcup;https://www.skillcup.ru/;смм, маркетинг, копирайтинг;https://vk.com/id13741326;;;
Alfa school;https://alfaschool.ru/;;;;;
skillfolio;https://skillfolio.ru/;;;;;
Арнион;https://arnion.ru/;;;;;
ismart;https://www.ismart.org/;;;;;
Инфохит;https://info-hit.ru/;;;;;
Институт навыков;https://skill-x.ru/;;;;;
