Садовод, поставщики и контакты;;;;;;
Поставщик;Расположение (линия-павильон);Телефон;Ссылка;Визитка;Категория;Номер сообщения
1000 мелочей TV-Shop товары;14 - 92;89060469638;https://vk.com/id320258767;;Дом;1
USB-REGION;14 - 87;89651482088;https://vk.com/club131772124;;Техника;2
1000 мелочей TV-Shop товары;14 - 64;89529074665;https://m.vk.com/shervon97;;Дом;3
МИР РАДОСТИ ДЕТЕЙ;14 - 40;89260681313;https://m.vk.com/club155290080;;Игрушки;4
1000 мелочей TV товары Садовод;14 - 29;89629507225;https://m.vk.com/club173020257;;Дом / Техника;5
-;14 - 28;89017474501;-;;Игрушки;6
1000 мелочей посуда;14 - 25;89689349797;https://vk.com/anush.mirzoev;;Дом;7
-;14 - 14;89991573093;-;;Дом;8
АКСЕССУАРЫ ДЛЯ ТЕЛЕФОНОВ И ПЛАНШЕТОВ;14.май;89998228755;https://vk.com/public181933268;;Техника;9
TV-Товары 14- линия 04- павильон ТК Садовод;14.апр;89684841404;https://m.vk.com/sadovod_1000m;;Дом;10
"Рынок Садовод поставщики ""полотенца""";Торговый Центр Корпус А, 2-2-23,  2-2-24,  2Д-19/1а;89252044831;https://vk.com/id473567690;;Полотенца / Дом;11
-;Корпус А, 2 этаж, 2Д-24 ;89175335211;-;;Полотенца / Дом;12
-;Торговый Центр Корпус А, 2 этаж 2Д-42;89998769175;https://m.vk.com/ahmadi1989;;Полотенца / Дом;13
-;Торговый Центр Корпус А, 2 этаж 2Д-41а-43-45;89253019980;https://m.vk.com/id442157692;;Полотенца / Дом / Игрушки;14
-;Новый Торговый Центр, 1 этаж 1А - 84-86;89261551800;-;;Дом / Ковры / Полотенца / Сидушки;15
-;12 стоянка, ст АНЛ7: 15,16,17,18.  4 стоянка АНК-110/2-3;89268528508;https://vk.com/stanl7muslim;;Дом / Постельное;16
-;Торговый Центр Корпус А, 1 этаж, 1-43;89269672683;-;;Дом / Постельное;17
Мягкие игрушки;13.июн;89299572076;-;;Игрушки;18
;13.окт;89960501584;-;;Игрушки;19
;13 - 26;89255994875;https://vk.com/cosmeticsmanikur;;Косметика;20
5000 мелочей;13 - 29;89296692643;-;;Дом;21
Хозтовары;А1: 96-98,  Б2: 97-99;89258812310;https://hoz-planet.ru/;;Дом;22
Швейная фурнитура;13 - 35;89654441335;-;;Рукоделие;23
1000 мелочей электроника;13 - 45;89837777197;https://m.vk.com/sadovod1345;;Техника;24
;13 - 55;89990961318;https://m.vk.com/alim1355;;Рукоделие;25
Спорт товары;13 - (65 - 67);89652609965;-;;Спорт;26
Мягкие игрушки;13 - 86;89261959999;-;;Игрушки;27
Спорттовары;13 - 94, 13 - 96;89055272730;-;;Спорт;28
Швейная фурнитура;13 - 111;89265059797;https://vk.com/s9701;;Рукоделие;29
1000 мелочей;13 - 117, 13 - 119;89295242752;https://optexpress.ru/;;Дом;30
-;-;89998779581;-;;Дом;31
;дек.48;89998024999;-;;Техника;32
;май.66;89232989304;https://m.vk.com/id242976857;-- ;Дом / Постельное;33
;сен.92;89258477069;-;;Игрушки;34
Хозтовары;9 - 100;89918827344;https://vk.com/hozoptom24;;Дом;35
;9 - 102;89263026850;https://m.vk.com/public197919246;--;Игрушки;36
Косметика;Торговый Центр Б, 2 этаж, линия Д - место 01а;89771962671;https://vk.com/d89771962671;;Косметика;37
;Корпус Б, 2 этаж, ряд Д - место 23, 25, 27;89999678446;https://m.vk.com/club204962093;;Дом;38
;Корпус Б, 2 этаж, линия Д ,павильон 52/54;89259858672;https://m.vk.com/sadovod_bed_linen;--;Дом / Постельное;39
;Корпус Б, 2 этаж, линия 2 - павильон 14;89261218788;https://m.vk.com/public197380062;;Дом;40
;6 - 9, 6 -11;89036721599;https://m.vk.com/id454519858;--;Дом;41
;июн.15;89254409949;https://m.vk.com/tovari_dlya_doma_sadovod;;Дом;42
;6 - (29-31);89262105587;--;;Дом;43
;7 - 109;89778309956;--;;Игрушки;44
;7-110;89997715529;https://vk.com/id619560731;;Игрушки;45
;июл.94;89037072112;https://vk.com/id408544755;;Игрушки;46
;июл.87;89996752906;https://m.vk.com/club180593172;;Игрушки;47
;7 - (78 - 80);89998552587;https://vk.com/id468856352;;Игрушки;48
;июл.76;89037190112;https://m.vk.com/club192882346;;Игрушки;49
;июл.43;89262770286;https://m.vk.com/id551003499;;Игрушки;50
;июл.23;89651630093;информация в whatsapp у Юры;--;Дом;51
