№ отчета;Дата начала;Дата конца;Дата формирования;Продажа;Согласованная скидка, %;К перечислению за товар;Стоимость логистики;Повышенная логистика согласно коэффициенту по обмерам;Другие виды штрафов;Общая сумма штрафов;Доплаты;Стоимость хранения;Стоимость платной приемки;Прочие удержания;Итого к оплате;Валюта
27258193;2023-02-20T00:00:00Z;2023-02-26T00:00:00Z;2023-02-27T08:09:20Z;1121,09;93;1120,98;140;0;0;0;0;0;0;0;980,98;руб
27258191;2023-02-20T00:00:00Z;2023-02-26T00:00:00Z;2023-02-27T08:09:20Z;12406,25;91,91;11993,26;1862,32;0;1170,69;1170,69;0;436,21;0;0;8524,04;руб
26781608;2023-02-13T00:00:00Z;2023-02-19T00:00:00Z;2023-02-20T08:03:31Z;1617,87;92,07;1578,83;195;0;0;0;0;0;0;0;1383,83;руб
26781607;2023-02-13T00:00:00Z;2023-02-19T00:00:00Z;2023-02-20T08:03:31Z;9377;91,77;9442,17;1028;0;690;690;0;353,78;0;0;7370,39;руб
26288030;2023-02-06T00:00:00Z;2023-02-12T00:00:00Z;2023-02-13T07:29:19Z;549,75;93;562,4;0;0;0;0;0;0;0;0;562,4;руб
26288029;2023-02-06T00:00:00Z;2023-02-12T00:00:00Z;2023-02-13T07:29:19Z;18814,25;91,29;18427,38;947;0;0;0;0;330,06;0;0;17150,32;руб
25794363;2023-01-30T00:00:00Z;2023-02-05T00:00:00Z;2023-02-06T10:25:32Z;564,49;85;544,69;295,42;0;0;0;0;0;0;0;249,27;руб
25794362;2023-01-30T00:00:00Z;2023-02-05T00:00:00Z;2023-02-06T10:25:32Z;17464,24;90,61;17725,3;1653,9;0;65;65;0;353,14;0;0;15653,26;руб
25303499;2023-01-23T00:00:00Z;2023-01-29T00:00:00Z;2023-01-30T09:29:07Z;1590,16;91,58;1598,3;195;0;0;0;0;0;0;0;1403,3;руб
25303498;2023-01-23T00:00:00Z;2023-01-29T00:00:00Z;2023-01-30T09:29:07Z;33605;90,65;33670,59;3293;0;2291,7;2291,7;0;366,01;0;0;27719,88;руб
24984417;2023-01-16T00:00:00Z;2023-01-22T00:00:00Z;2023-01-23T16:56:57Z;1342,88;82;1172,8;88;0;0;0;0;0;0;0;1084,8;руб
24984416;2023-01-16T00:00:00Z;2023-01-22T00:00:00Z;2023-01-23T16:56:57Z;14330,53;82,37;14189,7;2917;0;961,23;961,23;0;385,05;0;0;9926,42;руб
24127647;2023-01-09T00:00:00Z;2023-01-15T00:00:00Z;2023-01-16T09:48:30Z;1151;88,88;1174,69;213;0;0;0;0;0;0;0;961,69;руб
24127646;2023-01-09T00:00:00Z;2023-01-15T00:00:00Z;2023-01-16T09:48:30Z;21453,95;90,48;21097,46;3045;0;921,55;921,55;0;392,61;0;0;16738,3;руб
23686110;2023-01-02T00:00:00Z;2023-01-08T00:00:00Z;2023-01-09T08:46:00Z;0;0;0;110;0;0;0;0;0;0;0;-110;руб
23686109;2023-01-02T00:00:00Z;2023-01-08T00:00:00Z;2023-01-09T08:46:00Z;10487,89;89,03;9814,23;5784,06;0;722,3;722,3;0;410,68;0;0;2897,19;руб
23230727;2022-12-29T00:00:00Z;2023-01-01T00:00:00Z;2023-01-02T09:13:03Z;599,73;91;602,66;0;0;0;0;0;0;0;0;602,66;руб
23230726;2022-12-29T00:00:00Z;2023-01-01T00:00:00Z;2023-01-02T09:13:03Z;13561;89,61;13128,79;1044,9;0;30;30;0;424,67;0;0;11629,22;руб
22788683;2022-12-26T00:00:00Z;2022-12-28T00:00:00Z;2022-12-29T09:49:13Z;591,79;91;602,62;70;0;0;0;0;0;0;0;532,62;руб
22788682;2022-12-26T00:00:00Z;2022-12-28T00:00:00Z;2022-12-29T09:49:13Z;18006,08;88,7;17834,6;2126,98;0;60;60;0;0;0;0;15647,62;руб
22334199;2022-12-19T00:00:00Z;2022-12-25T00:00:00Z;2022-12-26T09:36:53Z;1728,03;90,7;1764,26;214;0;0;0;0;0;0;0;1550,26;руб
22334198;2022-12-19T00:00:00Z;2022-12-25T00:00:00Z;2022-12-26T09:36:53Z;31722,63;90,01;30495,58;4386,17;0;105;105;0;466,1;0;0;25538,31;руб
21860241;2022-12-12T00:00:00Z;2022-12-18T00:00:00Z;2022-12-19T09:36:41Z;542,58;90;557,99;181;0;0;0;0;0;0;0;376,99;руб
