Ключевая фраза;Просмотры;Частота;Клики;CTR;CPC;Затраты
Всего по кампании;3135;1,02;305;9,73;12,38;3776,44
ролик для одежды;1857;1,04;187;10,07;12,47;2331,96
валик для одежды;286;0,95;34;11,89;9,45;321,14
ролики для одежды;225;1,01;9;4;27,53;247,76
ролик для одежды многоразовый;213;1;25;11,74;10,66;266,59
ролик для чистки одежды;212;1,03;15;7,08;15,31;229,72
липкий ролик;156;0,96;18;11,54;10,85;195,28
ролик для чистки одежды многоразовый;53;0,96;7;13,21;9,58;67,08
многоразовый ролик для чистки одежды;24;0,92;7;29,17;5,32;37,27
ролики для чистки одежды;18;1,29;0;0;0;12,85
ролик для одежды липкий;13;1,08;0;0;0;9,77
липкий ролик для одежды;8;1;0;0;0;4,98
роллер для одежды;6;1;0;0;0;4,99
многоразовый ролик;4;0,8;1;25;2,72;2,72
валик от шерсти;4;1;0;0;0;3,28
ролики;4;1;0;0;0;5,02
ролик от шерсти;3;1,5;0;0;0;2,91
ролик силиконовый;3;1;0;0;0;2,08
многоразовый ролик для одежды;3;1;0;0;0;2,08
липкий ролик для чистки одежды;2;1;0;0;0;1,58
ролик липкий для одежды;2;1;0;0;0;2,51
чистка одежды ролик;2;1;0;0;0;0,64
от шерсти ролик;2;1;0;0;0;1,58
валик для волос;2;1;0;0;0;2,51
липкие ролики;2;1;0;0;0;1,58
силиконовый ролик для одежды;2;1;0;0;0;0,83
ролик;2;1;0;0;0;0,64
сменные блоки для ролика;2;1;0;0;0;2,51
ролики для чистки одежды сменные;2;1;0;0;0;0,64
сменные ролики для чистки одежды;2;1;0;0;0;0,64
валик для чистки одежды;2;1;0;0;0;1,01
валик для шерсти;2;0,67;1;50;1,9;1,9
ролик многоразовый для одежды;2;1;0;0;0;0,64
сменные ролики для одежды;1;1;0;0;0;0,22
сменные блоки для чистки одежды;1;1;0;0;0;1,26
ролик для мебели;1;1;0;0;0;1,26
ролики мебельные;1;1;0;0;0;0,32
ролики с защитой;1;1;0;0;0;0,05
валики для одежды;1;1;0;0;0;1,26
сменный ролик;1;1;0;0;0;0,32
ролики для одежды липкие;1;1;0;0;0;0,51
сменный блок для ролика;1;1;0;0;0;0,32
ролик от шерсти многоразовый;1;0,5;1;100;1,02;1,02
чехол для роликов;1;1;0;0;0;1,26
ролик многоразовый;1;1;0;0;0;0,32
ролик липкий;1;1;0;0;0;1,26
сменный ролик для чистки одежды;1;1;0;0;0;0,32
защита для роликов;1;1;0;0;0;0,05
