1 задание;;;;2 задание;;;;;;
Дата;Время года;;;2;2;;2;мин;;
12 января 2015 г.;Зима;;;4;2;;2;макс;;
13 февраля 2014 г.;Зима;;;6;2;;;;;
15 марта 2014 г.;Весна;;;8;2;;Последовательность возрастающая;;;
25 апреля 2015 г.;Весна;;;10;2;;;;;
30 июня 2015 г.;Лето;;;12;2;;;;;
25 декабря 2014 г.;Зима;;;14;2;;;;;
13 ноября 2006 г.;Осень;;;16;2;;;;;
25 июля 2014 г.;Лето;;;18;2;;;;;
26 сентября 2014 г.;Осень;;;20;;;;;;
23 августа 2011 г.;Лето;;;;;;;;;
12 мая 2014 г.;Весна;;;;;;;;;
30 октября 2015 г.;Осень;;;;;;;;;
