"Самостоятельная работа ""Построение графика функции с условиями""";
;
Учебное пособие: 4_Лабораторные, контрольные и самостоятельные работы по информатике_2010.pdf, стр. 71.;
x;y
-3;-1,260
-2,8;-1,216
-2,6;-1,170
-2,4;-1,119
-2,2;-1,063
-2;-1,000
-1,8;-0,928
-1,6;-0,843
-1,4;-0,737
-1,2;-0,585
-1;0,000
-0,8;0,585
-0,6;0,737
-0,4;0,843
-0,2;0,928
0;1,000
0,2;1,206
0,4;1,166
0,6;1,109
0,8;1,052
1;1,000
1,2;0,952
1,4;0,061
1,6;0,041
1,8;0,027
2;0,018
2,2;0,012
2,4;0,008
2,6;0,006
2,8;0,004
3;0,002
