"10-ТОП 
фактов о тебе";"Рынок (см ОКВЭД)
https://код-оквэд.рф/";Специализация (ниша);Применялось умение;Получен результат;"Сложность обучения/копирования
(1-5 баллов)";;;;;;;;;;;;;;;;;;;;
1;"18.1 Полиграфическая деятельность
58 Издательсткая деятельность";Оперативная полиграфия, конигоиздательство;"Открытие и продвижение типографий
Выпуск полиграфической продукции
Выпуск книг";Могу открыть типографию с нуля, знаю о рынке оперативной полиграфии, умею готовить любого вида полиграфическую продукцию, умею выпускать книги и печатные издания;2;;;;;;;;;;;;;;;;;;;;
2;"22.2 Производство пластмасс и изделий из пластмасс
32.91 Производство щеток, в тч зубных";"Производство пищевой упаковки
Производство зубных щеток";"Организация закупок оборудования и пластмасс для производства
Оптимизация бизнес-процессов на заводе
Повышение продаж В2В пластиковых изделий";Могу организовать выпуск под ключ почти любого пластмассового изделия;4;;;;;;;;;;;;;;;;;;;;
3;25.2 Производство металлических цистерн, резервуаров и прочих емкостей;Производство котлов и котельного оборудования, производство промывочных цистерн;"Повышение продаж В2В котлов и котельного оборудования
Организация тендерных продаж";"Могу организовать процесс продаж В2В сложного инженерного оборудования, в тч судового
Могу организовать производство и закупку любых емкостей";5;;;;;;;;;;;;;;;;;;;;
4;"28.3 Производство различного оборудования с использованием финишных покрытий
33 Ремонт и монтаж машин и оборудования";Жидкая, порошковая, гальваническая окраска и нанесение покрытий;Вывод на рынок РФ зарубежной компании, производящей такое оборудование и его последующее сервисное обслуживание. ;Упорядочена работа с дилерами, открытие и запуск представительства, полная проработка правовых задач, полная проработка задач по логистике и таможне. Полный запуск и продвижение.;5;;;;;;;;;;;;;;;;;;;;
5;41 Строительство;"Промышленное строительство
Гражданское строительство
Частное строительство";"Организация с нуля строительных компаний
В2В и В2С сектора";"Выполнены ремонты (отделка) в более чем 30+ домах (Москва, МО, СПб)
Выполнены под ключ работы в В2С, 20+ объектов
Возведены здания нулевого цикла 4+";4;;;;;;;;;;;;;;;;;;;;
6;46 Оптовая торговля;"Спортивные товары
Медицинские товары";"Вывод на рынок РФ зарубежных команий
Организация отделов продаж с 0";"Более 5+ лет успешно работают при запуске с 0
Кейсы 10+";3;;;;;;;;;;;;;;;;;;;;
7;58 Деятельность в области связи, в тч выпуск программного обеспечения;"Кабельные сети
Мобильная связь
Программное обеспечение";"Развитие услуг кабельного оператора, развитие услуг MVNO (мобильный опертор)
Запуск с нуля агрегатора мобильных услуг и разработка ПО для Сотовых
Разработка  решений по автоматизации и интеграции, создание ПО";"Сопровождение сделки M&A, выход на IPO сетевой комании
Разработка и продажа ПО
Автоматизация бизнес-процессов";5;;;;;;;;;;;;;;;;;;;;
8;"64 Финансовая деятельность
82 Административно-хозяйственная деятельность";"Деятельность холдинговых компаний
Финансово-кредитные услуги";"Создание управляющей компании
Получение и сопровождение финансовых сделок (кредитование, лизинг, инвестирование и тд)
Медиация и взыскание";"Запуск компаний с 0 и их административное сопровождение (backoffice)
Могу получить финансирование";4;;;;;;;;;;;;;;;;;;;;
9;69 Профессиональная деятельность;"Право и бухгалтерский учет, налогове консультирование
Консультирование в области коммерческой деятельности и управления
Социальные исследования, маркетинг и реклама";"Более 40+ клиентов по БУ и НУ
Более 50+ маркетинговых исследований";"Могу собрать достоверную информацию почти о чем угодно
Знаю бухгалтерский учет, налоги и право - как РФ так и некоторое зарубежное
Неплохо разбираюсь в социальном предпринимательстве (в тч НКО и Фонды)";3;;;;;;;;;;;;;;;;;;;;
10;"78 Деятельность по подбору и адаптации персонала
79 Туристическая деятелность
Развлекательно-выставочная деятельность";"Кадровые агентсва и профориентация
MICE под ключ
EVENTS под ключ";"Более 500+ трудоустроенных
Более 100+ мероприятий разного уровня В2В и В2С";"Могу найти самого нужного
Умею решать нерешаемые конфликты в коллективе
Могу организовать под ключ любое мероприятие в любой части планеты Земля";2;;;;;;;;;;;;;;;;;;;;
