;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Chillax Biue Razz 2% (1200затяжек);;46,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Blueberry Guava 2% (1200затяжек);;48,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Blueraspberry Lemon 2% (1200затяжек);;44,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Cantaloupe Milkshake 2% (1200затяжек);;43,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Cherry Bomb 2% (1200затяжек);;45,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Melon Watermelon 2% (1200затяжек);;44,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Pineapple Honeydew Melon 2% (1200затяжек);;41,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Raspberry Sweet Tea 2% (1200затяжек);;49,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Strawberry Litchi Kiwi 2% (1200затяжек);;45,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Strawberry Watermelon 2% (1200затяжек);;43,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Tropical Fruit 2% (1200затяжек);;44,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Chillax Watermelon Mint Bobble Gum 2% (1200затяжек);;46,000;;0;500,00 RUB;;;;;;;;;;;;;;;;;;;
;Glamee Nova (5% 4000PUFF);;;;;;;;;;;;;;;;;;;;;;;;
;"Glamee Nova "" lush ice"" (5% 4000PUFF)";;57,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Apple banana Ice"" (5% 4000PUFF)";;22,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""cool mint"" (5% 4000PUFF)";;50,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Fantasy love"" (5% 4000PUFF)";;21,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Green Energy drink"" (5% 4000PUFF)";;6,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Jungle juice"" (5% 4000PUFF)";;15,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""passion fruit mango"" (5% 4000PUFF)";;51,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""peach ice"" (5% 4000PUFF)";;60,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""peach mango watermelon"" (5% 4000PUFF)";;37,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Peach mango"" (5% 4000PUFF)";;50,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""rainbow"" (5% 4000PUFF)";;21,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""Shake shake"" (5% 4000PUFF)";;14,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""strawberry banana"" (5% 4000PUFF)";;9,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""strawberry cream"" (5% 4000PUFF)";;6,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""strawberry watermelon"" (5% 4000PUFF)";;11,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee Nova ""taro ice cream "" (5% 4000PUFF)";;43,000;;0;950,00 RUB;;;;;;;;;;;;;;;;;;;
;Glamee plus (5% 2000PUFF);;;;;;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Banana Ice"" (5% 2000PUFF)";;113,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Blueberry Raspberry Lemon"" (5% 2000PUFF)";;133,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Guava Ice"" (5% 2000PUFF)";;170,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Peach Ice"" (5% 2000PUFF)";;139,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Peach Mango Watermelon"" (5% 2000PUFF)";;143,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Pineapple Ice"" (5% 2000PUFF)";;103,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Strawberry Banana"" (5% 2000PUFF)";;115,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Strawberry cream"" (5% 2000PUFF)";;143,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Strawberry Watermelon"" (5% 2000PUFF)";;105,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;"Glamee plus ""Taro Ice Cream"" (5% 2000PUFF)";;139,000;;0;600,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT (350 затяжек) 20мг. NEW;;;;;;;;;;;;;;;;;;;;;;;;
;IGET CULT Apple (350 затяжек) 20мг. NEW;;67,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Banana Ice (350 затяжек) 20мг. NEW;;69,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Blueberry Ice (350 затяжек) 20мг. NEW;;72,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Bubblegum (350 затяжек) 20мг. NEW;;62,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Cantaloupe (350 затяжек) 20мг. NEW;;70,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Cool Mint (350 затяжек) 20мг. NEW;;65,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Grape (350 затяжек) 20мг. NEW;;69,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Ice Cola (350 затяжек) 20мг. NEW;;66,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Ice Lychee (350 затяжек) 20мг. NEW;;66,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Lush Ice (350 затяжек) 20мг. NEW;;76,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Mango (350 затяжек) 20мг. NEW;;69,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Orange Ice (350 затяжек) 20мг. NEW;;70,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Peach Ice (350 затяжек) 20мг. NEW;;69,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Pineapple Ice (350 затяжек) 20мг. NEW;;73,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Pink Lemonade (350 затяжек) 20мг. NEW;;71,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Raging Bull (350 затяжек) 20мг. NEW;;70,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET CULT Strawberry (350 затяжек) 20мг. NEW;;75,000;;0;235,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION (600 затяжек) 20мг.;;;;;;;;;;;;;;;;;;;;;;;;
;IGET SHION Blackberry Raspberry Orange (600 затяжек) 20мг.;;47,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Blue Razz (600 затяжек) 20мг.;;29,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Blueberry Ice (600 затяжек) 20мг.;;27,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Bubblegum (600 затяжек) 20мг.;;32,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Candy (600 затяжек) 20мг.;;19,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Cheesecake (600 затяжек) 20мг.;;23,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Ice Lychee (600 затяжек) 20мг.;;35,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Lush Ice (600 затяжек) 20мг.;;40,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Mango (600 затяжек) 20мг.;;5,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Mango Guava (600 затяжек) 20мг.;;14,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Pineapple Ice (600 затяжек) 20мг.;;35,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Pineapple Mango Banana (600 затяжек) 20мг.;;58,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;IGET SHION Strawberry Watermelon (600 затяжек) 20мг.;;13,000;;0;290,00 RUB;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
