;Lшi;L(с+ш)i;Lс1i;Lс2i;Zi;Ls;Lсi;gi;Ei;?Ai;pi;ki;Ai;S;W
250;33;50;65;50,11;14,89;66;51,11;18,11;-0,14;18,25;0,50;0,0273;0,0135;0,628837575;0,953463685
500;30;51;64;51,27;12,73;66;53,27;23,27;9,82;13,45;0,79;0,1140;0,0898;;
1000;33;45;60;44,77;15,23;61;45,77;12,77;2,88;9,89;0,59;0,2108;0,1248;;
2000;32;35;58;32,00;26,00;56;30,00;-2,00;-8,65;6,65;0,24;0,3074;0,0740;;
4000;30;31;54;24,00;30,00;53;23,00;-7,00;-11,64;4,64;0,17;0,2578;0,0443;;
;;;;;;;;;;;;сумма;0,3465;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;?=;;;;kниж;kверх;;;fниж;fверх;;;;
;1;-0,11;;;1;0,0066;0,0339;;;180;355;;;;
;2;-0,27;;;2;0,0339;0,1479;;;355;710;;;;
;3;0,23;;;3;0,1479;0,3588;;;710;1400;;;;
;4;3,00;;;4;0,3588;0,6662;;;1400;2800;;;;
;5;7,00;;;5;0,6662;0,9239;;;2800;5600;;;;
